date	cmname	unit	category	price
9/15/2013	Sugar - Retail	KG	miscellaneous food	12562
10/15/2013	Sugar - Retail	KG	miscellaneous food	12523
11/15/2013	Sugar - Retail	KG	miscellaneous food	12442
12/15/2013	Sugar - Retail	KG	miscellaneous food	12267
1/15/2014	Sugar - Retail	KG	miscellaneous food	12188
2/15/2014	Sugar - Retail	KG	miscellaneous food	12131
3/15/2014	Sugar - Retail	KG	miscellaneous food	11922
4/15/2014	Sugar - Retail	KG	miscellaneous food	11806
5/15/2014	Sugar - Retail	KG	miscellaneous food	11738
6/15/2014	Sugar - Retail	KG	miscellaneous food	11738
7/15/2014	Sugar - Retail	KG	miscellaneous food	11731
8/15/2014	Sugar - Retail	KG	miscellaneous food	11667
9/15/2014	Sugar - Retail	KG	miscellaneous food	11608
10/15/2014	Sugar - Retail	KG	miscellaneous food	11595
11/15/2014	Sugar - Retail	KG	miscellaneous food	11630
12/15/2014	Sugar - Retail	KG	miscellaneous food	11637
1/15/2015	Sugar - Retail	KG	miscellaneous food	11632
2/15/2015	Sugar - Retail	KG	miscellaneous food	11722
3/15/2015	Sugar - Retail	KG	miscellaneous food	11831
4/15/2015	Sugar - Retail	KG	miscellaneous food	12188
5/15/2015	Sugar - Retail	KG	miscellaneous food	12509
6/15/2015	Sugar - Retail	KG	miscellaneous food	12941
7/15/2015	Sugar - Retail	KG	miscellaneous food	13065
8/15/2015	Sugar - Retail	KG	miscellaneous food	13013
9/15/2015	Sugar - Retail	KG	miscellaneous food	12906
10/15/2015	Sugar - Retail	KG	miscellaneous food	12918
11/15/2015	Sugar - Retail	KG	miscellaneous food	13308
12/15/2015	Sugar - Retail	KG	miscellaneous food	13116
1/15/2016	Sugar - Retail	KG	miscellaneous food	13208
2/15/2016	Sugar - Retail	KG	miscellaneous food	13310
3/15/2016	Sugar - Retail	KG	miscellaneous food	13415
4/15/2016	Sugar - Retail	KG	miscellaneous food	13463
5/15/2016	Sugar - Retail	KG	miscellaneous food	14459
6/15/2016	Sugar - Retail	KG	miscellaneous food	15327
7/15/2016	Sugar - Retail	KG	miscellaneous food	15745
8/15/2016	Sugar - Retail	KG	miscellaneous food	15490
9/15/2016	Sugar - Retail	KG	miscellaneous food	15211
10/15/2016	Sugar - Retail	KG	miscellaneous food	15039
11/15/2016	Sugar - Retail	KG	miscellaneous food	14822
12/15/2016	Sugar - Retail	KG	miscellaneous food	14709
1/15/2017	Sugar - Retail	KG	miscellaneous food	14628
2/15/2017	Sugar - Retail	KG	miscellaneous food	14546
3/15/2017	Sugar - Retail	KG	miscellaneous food	14441
4/15/2017	Sugar - Retail	KG	miscellaneous food	13791
5/15/2017	Sugar - Retail	KG	miscellaneous food	13402
6/15/2017	Sugar - Retail	KG	miscellaneous food	13306
8/15/2017	Sugar - Retail	KG	miscellaneous food	13160
9/15/2017	Sugar - Retail	KG	miscellaneous food	13034
10/15/2017	Sugar - Retail	KG	miscellaneous food	12910
11/15/2017	Sugar - Retail	KG	miscellaneous food	12814
12/15/2017	Sugar - Retail	KG	miscellaneous food	12729
1/15/2013	Meat (beef) - Retail	KG	"meat, fish and eggs"	82437
2/15/2013	Meat (beef) - Retail	KG	"meat, fish and eggs"	83707
3/15/2013	Meat (beef) - Retail	KG	"meat, fish and eggs"	84301
4/15/2013	Meat (beef) - Retail	KG	"meat, fish and eggs"	84554
5/15/2013	Meat (beef) - Retail	KG	"meat, fish and eggs"	85002
6/15/2013	Meat (beef) - Retail	KG	"meat, fish and eggs"	85606
7/15/2013	Meat (beef) - Retail	KG	"meat, fish and eggs"	88928
8/15/2013	Meat (beef) - Retail	KG	"meat, fish and eggs"	90982
9/15/2013	Meat (beef) - Retail	KG	"meat, fish and eggs"	89217
10/15/2013	Meat (beef) - Retail	KG	"meat, fish and eggs"	89297
11/15/2013	Meat (beef) - Retail	KG	"meat, fish and eggs"	89368
12/15/2013	Meat (beef) - Retail	KG	"meat, fish and eggs"	90154
1/15/2014	Meat (beef) - Retail	KG	"meat, fish and eggs"	92029
2/15/2014	Meat (beef) - Retail	KG	"meat, fish and eggs"	92443
3/15/2014	Meat (beef) - Retail	KG	"meat, fish and eggs"	92230
4/15/2014	Meat (beef) - Retail	KG	"meat, fish and eggs"	92313
5/15/2014	Meat (beef) - Retail	KG	"meat, fish and eggs"	91861
6/15/2014	Meat (beef) - Retail	KG	"meat, fish and eggs"	91686
7/15/2014	Meat (beef) - Retail	KG	"meat, fish and eggs"	94767
8/15/2014	Meat (beef) - Retail	KG	"meat, fish and eggs"	94445
9/15/2014	Meat (beef) - Retail	KG	"meat, fish and eggs"	93501
10/15/2014	Meat (beef) - Retail	KG	"meat, fish and eggs"	93454
11/15/2014	Meat (beef) - Retail	KG	"meat, fish and eggs"	93473
12/15/2014	Meat (beef) - Retail	KG	"meat, fish and eggs"	94324
1/15/2015	Meat (beef) - Retail	KG	"meat, fish and eggs"	94758
2/15/2015	Meat (beef) - Retail	KG	"meat, fish and eggs"	94777
3/15/2015	Meat (beef) - Retail	KG	"meat, fish and eggs"	95033
4/15/2015	Meat (beef) - Retail	KG	"meat, fish and eggs"	95299
5/15/2015	Meat (beef) - Retail	KG	"meat, fish and eggs"	95137
6/15/2015	Meat (beef) - Retail	KG	"meat, fish and eggs"	96279
7/15/2015	Meat (beef) - Retail	KG	"meat, fish and eggs"	100862
8/15/2015	Meat (beef) - Retail	KG	"meat, fish and eggs"	102143
9/15/2015	Meat (beef) - Retail	KG	"meat, fish and eggs"	101959
10/15/2015	Meat (beef) - Retail	KG	"meat, fish and eggs"	101826
11/15/2015	Meat (beef) - Retail	KG	"meat, fish and eggs"	101409
12/15/2015	Meat (beef) - Retail	KG	"meat, fish and eggs"	102038
1/15/2016	Meat (beef) - Retail	KG	"meat, fish and eggs"	104120
2/15/2016	Meat (beef) - Retail	KG	"meat, fish and eggs"	105224
3/15/2016	Meat (beef) - Retail	KG	"meat, fish and eggs"	105676
4/15/2016	Meat (beef) - Retail	KG	"meat, fish and eggs"	105444
5/15/2016	Meat (beef) - Retail	KG	"meat, fish and eggs"	105623
6/15/2016	Meat (beef) - Retail	KG	"meat, fish and eggs"	106986
7/15/2016	Meat (beef) - Retail	KG	"meat, fish and eggs"	108256
8/15/2016	Meat (beef) - Retail	KG	"meat, fish and eggs"	107393
9/15/2016	Meat (beef) - Retail	KG	"meat, fish and eggs"	107576
10/15/2016	Meat (beef) - Retail	KG	"meat, fish and eggs"	107425
11/15/2016	Meat (beef) - Retail	KG	"meat, fish and eggs"	107361
12/15/2016	Meat (beef) - Retail	KG	"meat, fish and eggs"	107694
1/15/2017	Meat (beef) - Retail	KG	"meat, fish and eggs"	107199
2/15/2017	Meat (beef) - Retail	KG	"meat, fish and eggs"	106877
3/15/2017	Meat (beef) - Retail	KG	"meat, fish and eggs"	107251
4/15/2017	Meat (beef) - Retail	KG	"meat, fish and eggs"	106329
5/15/2017	Meat (beef) - Retail	KG	"meat, fish and eggs"	107647
6/15/2017	Meat (beef) - Retail	KG	"meat, fish and eggs"	108734
8/15/2017	Meat (beef) - Retail	KG	"meat, fish and eggs"	108072
9/15/2017	Meat (beef) - Retail	KG	"meat, fish and eggs"	107715
10/15/2017	Meat (beef) - Retail	KG	"meat, fish and eggs"	106713
11/15/2017	Meat (beef) - Retail	KG	"meat, fish and eggs"	106201
12/15/2017	Meat (beef) - Retail	KG	"meat, fish and eggs"	106732
1/15/2013	Fuel (kerosene) - Retail	L	non-food	6111
2/15/2013	Fuel (kerosene) - Retail	L	non-food	6128
3/15/2013	Fuel (kerosene) - Retail	L	non-food	6163
4/15/2013	Fuel (kerosene) - Retail	L	non-food	6165
5/15/2013	Fuel (kerosene) - Retail	L	non-food	6164
6/15/2013	Fuel (kerosene) - Retail	L	non-food	6181
7/15/2013	Fuel (kerosene) - Retail	L	non-food	6209
8/15/2013	Fuel (kerosene) - Retail	L	non-food	6233
9/15/2013	Fuel (kerosene) - Retail	L	non-food	6244
10/15/2013	Fuel (kerosene) - Retail	L	non-food	6243
11/15/2013	Fuel (kerosene) - Retail	L	non-food	6296
12/15/2013	Fuel (kerosene) - Retail	L	non-food	6307
